#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         684     1.82808      1.7104   0.0037163
         685     1.82996     1.71057  0.00371497
         686     1.83179     1.71075  0.00371375
         687     1.83358     1.71093  0.00371265
         688     1.83532     1.71111  0.00371165
         689       1.837     1.71129  0.00371076
         690     1.83861     1.71148  0.00370997
         691     1.84015     1.71166  0.00370927
         692     1.84162     1.71185  0.00370866
         693     1.84301     1.71204  0.00370813
         694     1.84432     1.71223  0.00370769
         695     1.84553     1.71242  0.00370731
         696     1.84665     1.71262  0.00370699
         697     1.84768     1.71281  0.00370674
         698      1.8486     1.71301  0.00370653
         699     1.84942      1.7132  0.00370636
         700     1.85013      1.7134  0.00370622
         701     1.85073     1.71359  0.00370611
         702     1.85121     1.71379  0.00370601
         703     1.85158     1.71398  0.00370592
         704     1.85182     1.71418  0.00370582
         705     1.85195     1.71438  0.00370572
         706     1.85195     1.71457  0.00370559
         707     1.85183     1.71476  0.00370543
         708     1.85158     1.71496  0.00370523
         709      1.8512     1.71515  0.00370498
         710      1.8507     1.71534  0.00370468
         711     1.85006     1.71553  0.00370431
         712      1.8493     1.71572  0.00370387
         713     1.84841      1.7159  0.00370335
         714     1.84738     1.71609  0.00370274
         715     1.84623     1.71627  0.00370203
         716     1.84495     1.71645  0.00370122
         717     1.84355     1.71663   0.0037003
         718     1.84201      1.7168  0.00369927
         719     1.84035     1.71697  0.00369811
         720     1.83857     1.71714  0.00369683
         721     1.83666     1.71731  0.00369541
         722     1.83463     1.71747  0.00369387
         723     1.83249     1.71763  0.00369218
         724     1.83022     1.71779  0.00369036
         725     1.82784     1.71794  0.00368839
